model_name|prompt|response|muid|mu_val|D|D_num|D_denom|A_num|LogA
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|10| into|-9.799396514892578|-54.53310012817383|-44.73370361328125|-9.843561172485352|-0.04416465759277344
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|11| the|-9.904983520507812|-53.57157897949219|-43.666595458984375|-9.843561172485352|0.06142234802246094
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|12| bag|-13.323978424072266|-53.66206359863281|-40.33808517456055|-9.843561172485352|3.480417251586914
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|13| because|-10.012451171875|-49.214500427246094|-39.202049255371094|-9.843561172485352|0.16888999938964844
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|14| it|-9.843677520751953|-46.068668365478516|-36.22499084472656|-9.843561172485352|0.0001163482666015625
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|15| was|-9.850341796875|-45.37419509887695|-35.52385330200195|-9.843561172485352|0.0067806243896484375
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|16| too|-9.844467163085938|-45.24057388305664|-35.3961067199707|-9.843561172485352|0.0009059906005859375
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|17| big|-9.93094253540039|-43.68111801147461|-33.75017547607422|-9.843561172485352|0.08738136291503906
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|18|."|-9.915424346923828|-43.34137725830078|-33.42595291137695|-9.843561172485352|0.07186317443847656
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|19| Question|-11.344118118286133|-34.136871337890625|-22.792753219604492|-9.843561172485352|1.5005569458007812
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|20|:|-9.848526000976562|-28.548290252685547|-18.699764251708984|-9.843561172485352|0.0049648284912109375
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|21| "|-10.011690139770508|-28.365537643432617|-18.35384750366211|-9.843561172485352|0.16812896728515625
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|22|What|-10.10350227355957|-26.252267837524414|-16.148765563964844|-9.843561172485352|0.25994110107421875
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|23| is|-10.265235900878906|-24.177810668945312|-13.912574768066406|-9.843561172485352|0.4216747283935547
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|24| '|-9.844711303710938|-22.57986831665039|-12.735157012939453|-9.843561172485352|0.0011501312255859375
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|25|it|-9.906349182128906|-17.523103713989258|-7.61675500869751|-9.843561172485352|0.06278800964355469
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|26|'|-9.90457534790039|-14.975370407104492|-5.070794582366943|-9.843561172485352|0.06101417541503906
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|27| referring|-9.851202964782715|-14.733806610107422|-4.882603645324707|-9.843561172485352|0.007641792297363281
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|28| to|-9.844319343566895|-13.50387954711914|-3.659560203552246|-9.843561172485352|0.0007581710815429688
meta-llama/Llama-3.2-1B-Instruct|Sentence: "The water bottle didn't fit into the bag because it was too big." Question: "What is 'it' referring to?| Is it the water bottle, the bag, or something else?"NEWLINENEWLINEA) The water bottleNEWLINEB|29|?|-13.50090217590332|-13.50090217590332|4.76837158203125e-07|-9.843561172485352|3.6573410034179688
