model_name|prompt|response|muid|mu_val|D|D_num|D_denom|A_num|LogA
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|14| packed|-14.348098754882812|-78.57673645019531|-64.2286376953125|-14.344680786132812|0.00341796875
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|15| her|-14.502784729003906|-76.97489166259766|-62.47210693359375|-14.344680786132812|0.15810394287109375
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|16| tent|-14.762596130371094|-76.47227478027344|-61.709678649902344|-14.344680786132812|0.41791534423828125
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|17|,|-14.346134185791016|-70.63728332519531|-56.2911491394043|-14.344680786132812|0.001453399658203125
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|18| hiking|-14.351551055908203|-70.57228088378906|-56.22072982788086|-14.344680786132812|0.006870269775390625
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|19| boots|-14.370349884033203|-67.40424346923828|-53.03389358520508|-14.344680786132812|0.025669097900390625
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|20|,|-14.346912384033203|-67.57511138916016|-53.22819900512695|-14.344680786132812|0.002231597900390625
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|21| a|-14.349433898925781|-67.56644439697266|-53.217010498046875|-14.344680786132812|0.00475311279296875
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|22| warm|-14.313411712646484|-60.81524658203125|-46.501834869384766|-14.344680786132812|-0.031269073486328125
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|23| jacket|-14.429210662841797|-56.55942916870117|-42.130218505859375|-14.344680786132812|0.08452987670898438
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|24|,|-14.34686279296875|-56.17325210571289|-41.82638931274414|-14.344680786132812|0.0021820068359375
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|25| and|-14.347164154052734|-56.108394622802734|-41.76123046875|-14.344680786132812|0.002483367919921875
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|26| food|-14.080524444580078|-52.18709182739258|-38.1065673828125|-14.344680786132812|-0.2641563415527344
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|27| for|-14.347145080566406|-50.408634185791016|-36.06148910522461|-14.344680786132812|0.00246429443359375
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|28| the|-14.34531021118164|-49.722774505615234|-35.377464294433594|-14.344680786132812|0.000629425048828125
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|29| journey|-14.595649719238281|-47.18415832519531|-32.58850860595703|-14.344680786132812|0.25096893310546875
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|30|.|-14.346914291381836|-45.34993362426758|-31.003019332885742|-14.344680786132812|0.0022335052490234375
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|31| When|-15.12067985534668|-44.07899475097656|-28.958314895629883|-14.344680786132812|0.7759990692138672
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|32| she|-14.470260620117188|-40.65718460083008|-26.18692398071289|-14.344680786132812|0.125579833984375
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|33| reached|-14.36244010925293|-40.62222671508789|-26.25978660583496|-14.344680786132812|0.017759323120117188
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|34| the|-14.347160339355469|-37.88282775878906|-23.535667419433594|-14.344680786132812|0.00247955322265625
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|35| mountain|-14.348356246948242|-37.82844924926758|-23.480093002319336|-14.344680786132812|0.0036754608154296875
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|36| top|-14.189876556396484|-35.0438117980957|-20.85393524169922|-14.344680786132812|-0.15480422973632812
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|37|,|-14.346912384033203|-33.654579162597656|-19.307666778564453|-14.344680786132812|0.002231597900390625
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|38| the|-14.346946716308594|-33.61339569091797|-19.266448974609375|-14.344680786132812|0.00226593017578125
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|39| view|-14.414482116699219|-31.049352645874023|-16.634870529174805|-14.344680786132812|0.06980133056640625
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|40| was|-14.351704597473145|-29.301660537719727|-14.949955940246582|-14.344680786132812|0.007023811340332031
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|41| breathtaking|-14.376052856445312|-28.99845314025879|-14.622400283813477|-14.344680786132812|0.0313720703125
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|42|,|-14.348151206970215|-28.972980499267578|-14.624829292297363|-14.344680786132812|0.0034704208374023438
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|43| and|-14.45110034942627|-26.20934295654297|-11.7582426071167|-14.344680786132812|0.10641956329345703
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|44| Chang|-14.074536323547363|-16.441614151000977|-2.3670778274536133|-14.344680786132812|-0.2701444625854492
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|45| felt|-14.350897789001465|-15.80459213256836|-1.4536941051483154|-14.344680786132812|0.006217002868652344
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|46| a|-14.347997665405273|-15.309245109558105|-0.9612472057342529|-14.344680786132812|0.0033168792724609375
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|47| sense|-14.499452590942383|-14.686030387878418|-0.1865776926279068|-14.344680786132812|0.1547718048095703
meta-llama/Llama-3.2-1B-Instruct|Dr. Chang was excited about her hike to the mountains. She packed her tent, hiking boots, a warm jacket, and food for the journey. When she reached the mountain top, the view was breathtaking, and Chang felt a sense of| accomplishment and peace. As she sat down to rest and enjoy the view, she noticed a strange object|48| of|-14.347007751464844|-14.347007751464844|2.103188307955861e-07|-14.344680786132812|0.00232696533203125
